;0;1001;1015;1016;1020;1030;1031;1034;1035;1041;1045;1050;1053;1056;1061;1062;1063;1064;1065;1067;1068;1070;1074;1076;1082;1084;1088;1089;1091;1102;1115;1123;1126;1133;1151;1164;1165;1174;1176;1177;1179;1186;1187;1190;1193;1204;1210;1213;1231;1236;1255;1273;1313;1315;1350;1371;1372;1497;1689;1708;1865;1868
1067;73.16;90.37;138.98;100.9;121.61;101.6;67.2;55.91;126.79;111.62;156.21;60.52;95.75;109.25;88.06;96.1;110.18;137.02;131.16;0.0;5.46;40.55;77.76;119.75;136.45;163.52;50.71;50.46;76.9;170.42;154.83;110.98;116.01;56.91;114.31;121.46;189.22;87.0;117.21;96.71;102.87;140.96;169.8;117.87;121.81;130.38;106.5;102.8;163.97;110.43;53.77;99.34;56.9;110.23;110.07;22.28;101.31;172.09;88.14;139.99;111.91;65.72
1068;68.15;85.37;133.97;95.89;116.6;96.59;117.66;54.01;121.78;106.61;151.2;69.56;90.74;104.27;83.08;91.12;105.2;132.01;126.18;5.46;0.0;38.56;72.69;114.68;131.38;158.45;48.72;48.47;71.83;165.36;149.77;105.91;110.95;51.85;109.24;116.39;184.16;81.94;112.15;91.65;97.82;135.89;164.73;112.8;116.75;125.33;101.43;97.73;158.91;105.36;51.79;94.28;51.86;105.17;105.0;29.05;96.27;167.02;83.08;134.92;106.86;63.73
1070;105.12;98.2;170.93;132.85;153.56;90.5;74.49;38.06;65.73;143.57;179.09;27.65;96.14;183.07;117.79;125.83;150.2;168.97;183.41;40.55;38.56;0.0;75.35;151.77;168.47;195.54;37.89;35.56;113.31;194.77;186.85;143.0;148.03;88.93;143.4;74.1;221.24;119.02;78.66;89.76;192.17;165.31;194.15;149.89;122.59;183.02;87.91;130.3;188.32;103.47;19.34;129.31;79.94;111.44;111.27;57.53;151.22;204.11;120.16;164.34;164.28;31.29
1074;25.99;15.28;103.77;65.69;74.07;46.16;25.88;98.7;71.35;64.08;100.77;134.24;155.43;155.99;134.8;142.84;156.92;89.48;177.9;77.76;72.69;75.35;0.0;72.26;88.96;116.03;50.73;86.21;12.87;114.8;124.76;63.49;68.53;21.68;66.82;25.21;141.74;39.52;26.37;41.09;150.42;85.33;114.17;70.38;199.18;177.94;21.04;55.31;108.35;54.8;105.95;51.85;130.28;54.6;54.44;37.93;139.35;124.6;40.66;84.36;159.46;112.71
1076;63.9;83.48;122.31;84.23;50.43;94.71;115.78;147.24;119.9;16.78;87.5;176.24;181.1;174.54;153.34;161.38;175.46;104.59;196.44;119.75;114.68;151.77;72.26;0.0;65.25;57.33;135.3;136.58;71.64;122.41;134.54;73.27;12.22;69.96;50.06;116.2;83.03;53.96;111.96;91.46;168.22;83.71;96.31;80.16;216.97;195.73;101.24;38.54;85.28;105.17;156.32;34.8;148.07;85.83;85.62;89.97;157.15;134.38;40.22;91.97;177.26;163.08
1082;72.65;100.18;66.74;84.04;35.54;111.4;132.47;163.94;136.59;90.32;131.3;192.93;200.04;133.3;151.43;139.85;124.55;18.39;182.9;136.45;131.38;168.47;88.96;65.25;0.0;50.99;151.54;152.82;87.88;170.76;71.95;28.59;100.11;86.19;98.41;132.44;106.95;52.88;128.19;107.69;136.07;132.06;144.66;12.7;203.11;182.21;117.48;86.9;158.3;121.41;172.55;83.44;146.77;134.18;133.97;106.21;107.25;71.79;67.7;140.32;153.75;179.32
1084;107.67;127.25;114.25;127.99;65.92;138.47;159.54;191.01;163.66;76.08;111.94;220.0;224.86;180.82;197.11;205.15;172.06;65.9;240.21;163.52;158.45;195.54;116.03;57.33;50.99;0.0;177.91;179.18;114.25;165.01;119.57;115.88;80.42;112.56;92.66;158.81;68.97;96.57;154.56;134.06;210.82;110.05;107.82;53.32;259.58;238.34;143.84;81.15;105.4;147.77;198.92;77.41;190.68;128.44;128.23;132.58;199.75;119.41;82.83;134.58;219.86;205.69
1088;79.16;58.6;166.57;128.49;136.88;50.9;34.89;17.94;26.14;126.89;139.49;64.82;137.86;218.8;197.61;205.65;219.73;152.29;240.71;50.71;48.72;37.89;50.73;135.3;151.54;177.91;0.0;3.03;73.48;154.94;191.08;129.81;134.84;95.39;103.56;27.03;208.05;105.83;38.83;49.93;216.74;125.48;154.32;136.7;163.93;244.25;48.08;90.47;148.49;63.64;45.21;89.48;99.04;71.61;71.44;42.79;205.67;190.92;106.97;124.51;225.78;51.98
1089;80.44;59.88;167.85;129.77;138.15;52.17;36.16;15.62;27.41;128.16;140.77;62.49;137.61;220.08;198.88;206.92;221.0;153.56;241.98;50.46;48.47;35.56;86.21;136.58;152.82;179.18;3.03;0.0;74.72;156.18;192.32;131.05;136.08;96.63;104.8;28.27;209.29;107.07;40.07;51.17;217.98;126.72;155.56;137.93;163.68;245.49;49.31;91.71;149.73;64.88;34.9;90.72;98.79;72.85;72.68;42.54;206.91;192.16;108.21;125.75;227.02;41.67
1091;25.13;9.16;102.91;64.83;73.21;29.61;29.89;82.14;54.8;63.22;84.22;131.53;154.57;155.14;133.94;141.98;156.06;88.62;177.04;76.9;71.83;113.31;12.87;71.64;87.88;114.25;73.48;74.72;0.0;99.29;123.76;62.5;67.53;28.08;47.91;29.18;140.74;38.52;46.08;25.58;149.43;69.83;98.67;69.38;198.18;176.94;35.36;48.93;92.84;39.29;90.44;33.83;129.28;39.1;38.93;48.1;138.36;123.6;39.66;68.86;158.47;97.21
1102;86.2;99.84;189.22;151.14;131.74;67.92;132.14;163.6;136.26;113.99;38.04;212.99;248.01;241.44;220.25;228.29;242.37;171.5;263.35;170.42;165.36;194.77;114.8;122.41;170.76;165.01;154.94;156.18;99.29;0.0;200.59;139.32;117.25;121.54;98.16;135.8;190.46;120.01;131.55;68.96;234.27;39.42;39.43;146.21;283.02;261.78;120.84;99.17;46.63;59.51;175.91;84.07;214.12;54.62;55.52;141.55;223.2;200.43;106.27;34.22;243.31;182.68
1115;108.45;135.98;13.68;56.09;92.97;147.2;168.27;199.74;172.39;126.12;167.1;141.02;101.4;80.03;73.64;42.78;46.58;46.46;116.74;154.83;149.77;186.85;124.76;134.54;71.95;119.57;191.08;192.32;123.76;200.59;0.0;63.26;134.78;95.31;133.08;167.11;175.33;87.55;162.86;142.36;83.38;166.73;179.32;64.58;136.38;115.14;152.14;121.56;192.96;156.07;207.22;118.11;67.48;168.85;168.64;124.59;38.21;28.09;102.37;174.99;96.66;213.99
