,Haversine_Distance
810,67.43651063059856
811,49.61239725887598
812,114.46931650912605
813,122.4118564251037
814,122.4118564251037
815,122.77472163689583
816,101.65627700729945
817,106.52730601158335
818,120.52046091033176
819,145.238672376875
820,145.2864812277724
821,126.27219472318184
822,146.28483212705854
823,146.28483212705854
824,145.68355964536354
825,126.4569986925703
826,11.256731115713466
827,21.91721803819517
828,23.578949679559265
829,26.542152330646413
830,21.331168122114907
831,21.331168122114907
832,3.3192439202637636
833,27.776717935931536
834,21.331168122114907
835,41.02224222512584
836,49.53645341726143
837,52.68243192435335
838,16.88618029764552
839,52.04141252763051
840,17.073652146121844
841,44.3634618583034
842,86.95039245085735
843,95.04091851095333
844,95.24765034441435
845,50.49022048066578
846,95.45326192856113
847,72.77356121082504
848,71.99711429017762
849,141.1743310479536
850,130.96644610680556
851,136.7079618518318
852,139.34169623020213
853,30.353360348714208
854,32.162370234668934
855,32.162370234668934
856,23.16438329422282
857,29.140189917970435
858,28.875836778303476
859,31.654503424867485
860,29.91673398868865
861,24.16606287292985
862,41.75517346894444
863,18.668683938815892
864,22.288481180837675
865,17.209516783636694
866,102.41895973058209
867,104.87386366316656
868,75.95594424101573
869,72.26439779754718
870,72.26439779754718
871,75.37501062031917
872,76.39102275324419
873,77.81598555493623
874,66.68935416187139
875,8.840427975931833
876,31.654503424867485
877,29.002618612951512
878,76.1195013823201
879,75.77653700376051
880,63.8856894260414
881,64.0271179598725
882,65.53814307294023
883,64.8536608125786
884,103.72356380483443
885,121.69982077501747
886,122.5096634671632
887,112.49471057258445
888,123.55806391516077
889,115.54547313165486
890,116.40033954108381
891,71.18627250956409
892,80.63724792380357
893,58.10619503889309
894,81.5234666614338
895,71.80966047437968
896,49.177530630439236
897,80.4147141201348
898,80.56572409088504
899,88.69074009005831
900,86.95039245085735
901,85.75335319032067
902,82.93225191627872
903,96.83880247794619
904,82.23214722824527
905,107.89939615740768
906,84.80595495243489
907,84.80595495243489
908,104.68224297819614
909,104.68224297819614
910,48.0526925964534
911,85.66977587380946
912,73.4332381838757
913,47.31374935726954
914,47.04456328472023
915,65.97513675503589
916,48.673665095885355
917,39.44327317874128
918,41.97917772207555
919,36.21824390925801
920,36.05869306459485
921,37.82333478537603
922,35.98903712074472
923,42.8883444409277
924,35.58713023512805
925,39.383838345953656
926,33.38603150988534
927,34.0389990977101
928,42.28004059983251
929,40.38777397429673
930,41.57567221360745
931,39.88309213398283
932,115.04716049032056
933,111.65476503442696
934,110.2669238032832
935,30.238342809942598
936,36.11405098812912
937,32.162370234668934
938,31.570410346252697
939,29.91673398868865
940,116.24453353200248
941,148.8624529168708
942,129.32659216884556
943,148.8624529168708
944,127.45253091379804
945,106.52730601158335
946,94.78598634588046
947,93.80233835386801
948,91.12596012207428
949,92.57902241834337
950,73.75096420853768
951,95.55121621562104
952,94.6692372182695
953,120.52046091033176
954,145.238672376875
955,145.2864812277724
956,126.27219472318184
957,146.28483212705854
958,144.5139738069647
959,145.68355964536354
960,146.3237013657134
961,146.28483212705854
962,44.3634618583034
963,41.02224222512584
964,51.148840406950136
965,52.04141252763051
966,51.148840406950136
967,44.3634618583034
968,50.00747364749054
969,40.66826141927131
970,98.46845081566191
971,89.69678023951909
972,93.829499511425
973,98.30662239517898
974,127.14942646952593
975,129.6225763699579
976,127.14942646952593
977,129.19817090516605
978,139.14866211938616
979,130.26417865298305
980,105.37220096015471
981,102.41895973058209
982,98.3299470595236
983,104.87386366316656
984,101.65627700729945
985,115.42699661202353
986,118.17954859702185
987,118.66179538887839
988,42.39749158892248
989,42.67434101122749
990,111.85951393294567
991,90.3344948846532
992,82.92693109007908
993,108.865255358508
994,87.87929128089635
995,86.30845998362942
996,85.68001248307253
997,55.487816434203985
998,89.87897765564342
999,49.95119449073398
1000,49.61239725887598
1001,49.61239725887598
1002,86.95978877717648
1003,35.70775665703366
1004,76.84369939617658
1005,77.81598555493623
1006,67.43651063059856
1007,68.12972524683684
1008,66.68935416187139
1009,72.26439779754718
1010,21.087443449131683
1011,26.04230922366078
1012,26.04230922366078
1013,48.465533872963455
1014,76.1195013823201
1015,41.02224222512584
1016,65.10361022560325
1017,54.09204911349458
1018,52.04141252763051
1019,64.0271179598725
1020,44.3634618583034
1021,49.59397194974684
1022,73.49892663007246
1023,54.56655198231954
1024,80.63724792380357
1025,58.10619503889309
1026,67.7315656299533
1027,71.80966047437968
1028,49.177530630439236
1029,59.35094696852839
1030,58.13353162016262
1031,80.56572409088504
1032,24.16606287292985
1033,24.16606287292985
1034,18.668683938815892
1035,20.570876650528888
1036,31.61302101765469
1037,22.288481180837675
1038,22.287859530682216
1039,17.209516783636694
1040,103.72356380483443
1041,112.49471057258445
1042,77.81598555493623
1043,136.7079618518318
1044,117.31632712853146
1045,109.02071412758421
1046,97.73243191692826
1047,72.50493536936835
1048,78.54351384449872
1049,94.74135513559983
1050,107.31773049159862
1051,95.21503909531579
1052,95.41339761739899
1053,104.68224297819614
1054,75.37501062031917
1055,72.26439779754718
1056,46.17101763286834
1057,45.051924351934744
1058,98.30662239517898
1059,89.69678023951909
1060,90.32278432112786
1061,93.829499511425
1062,46.78301296710091
1063,41.19703270576244
1064,35.58713023512805
1065,37.53052639145785
1066,32.162370234668934
1067,31.654503424867485
1068,28.875836778303476
1069,30.524211132344842
1070,69.73468213250285
1071,52.40428182467009
1072,52.40428182467009
1073,70.90266363133885
1074,70.1590463490602
1075,61.7503511753337
1076,70.97943801486538
1077,67.43651063059856
1078,42.39749158892248
