from;to;distance;time
1062;1067;96.1;127.33466666666666
1062;1068;91.12;119.89
1062;1070;125.83;169.13133333333332
1062;1076;161.38;169.11783333333332
1062;1082;139.85;148.35966666666667
1062;1084;205.15;211.59283333333332
1062;1088;205.65;225.87449999999998
1062;1089;206.92;227.72016666666664
1062;1091;141.98;158.51116666666667
1062;1102;228.29;244.00566666666666
1062;1115;42.78;56.95233333333333
1062;1123;131.25;137.06666666666666
1062;1126;157.65;166.29066666666668
1062;1133;118.72;131.13266666666667
1062;1151;155.94;165.31966666666668
1062;1176;182.3;198.49383333333333
1062;1177;161.8;177.2985
1062;1179;13.57;20.716833333333334
1062;1186;189.6;212.78516666666667
1062;1187;202.19;231.03416666666666
1062;1204;68.62;93.48583333333333
1062;1213;144.43;156.44
1062;1231;215.83;234.69033333333334
1062;1236;175.51;197.18516666666667
1062;1255;226.66;244.97166666666666
1062;1273;140.97;150.69883333333334
1062;1313;46.0;55.446000000000005
1062;1315;191.72;210.57266666666666
1062;1350;191.51;209.79266666666666
1062;1371;147.99;166.871
1062;1372;6.44;7.899
1063;0;151.27;172.5755
1063;1016;93.16;105.67233333333334
1063;1031;200.78;231.35600000000002
1063;1034;232.24;261.9791666666667
1063;1035;204.9;228.67383333333333
1063;1041;166.64;182.09783333333334
1063;1045;207.61;240.16783333333333
1063;1053;69.7;88.09016666666666
1063;1056;19.3;29.447333333333333
1063;1061;19.85;29.503
1063;1062;10.74;14.616999999999999
1063;1063;0.0;0.0
1063;1065;68.22;95.16083333333333
1063;1067;110.18;149.417
1063;1068;105.2;141.97233333333332
1063;1070;150.2;194.98233333333334
1063;1076;175.46;191.20016666666666
1063;1082;124.55;135.83933333333331
1063;1084;172.06;200.3383333333333
1063;1088;219.73;247.95683333333332
1063;1089;221.0;249.80249999999998
1063;1091;156.06;180.59366666666668
1063;1102;242.37;266.088
1063;1115;46.58;60.73833333333334
1063;1123;115.95;124.54616666666668
1063;1126;171.72;188.373
1063;1133;132.79;153.215
1063;1151;170.02;187.40200000000002
1063;1176;196.38;220.57616666666667
1063;1177;175.88;199.381
1063;1179;12.21;21.120166666666666
1063;1186;203.68;234.86749999999998
1063;1187;216.27;253.1165
1063;1204;67.33;94.91433333333333
1063;1213;158.51;178.52233333333334
1063;1231;229.91;256.7726666666667
1063;1236;189.59;219.26749999999998
1063;1255;240.74;267.054
1063;1273;155.05;172.78116666666668
1063;1313;50.17;71.33500000000001
1063;1315;205.8;232.655
1063;1350;205.58;231.875
1063;1371;162.07;188.95333333333335
1063;1372;6.11;8.425833333333333
1065;0;172.83;196.697
1065;1016;114.72;129.79383333333334
1065;1031;222.34;255.4775
1065;1034;253.8;286.10066666666665
1065;1035;226.46;252.79533333333333
1065;1041;188.2;206.21933333333334
1065;1045;229.18;264.28933333333333
1065;1053;73.56;99.53116666666666
1065;1056;44.37;60.696333333333335
1065;1061;73.23;89.76133333333334
1065;1062;69.51;93.73233333333333
1065;1063;68.22;95.16083333333333
1065;1065;0.0;0.0
1065;1067;131.16;172.38833333333332
1065;1068;126.18;164.94366666666667
1065;1070;183.41;232.04333333333335
1065;1076;196.44;214.1715
1065;1082;182.9;198.92016666666666
1065;1084;240.21;256.6465
1065;1088;240.71;270.9281666666667
1065;1089;241.98;272.77383333333336
1065;1091;177.04;203.56483333333333
1065;1102;263.35;289.05933333333337
1065;1115;116.74;137.013
1065;1123;174.3;187.62716666666665
1065;1126;192.71;211.3445
1065;1133;153.78;176.18633333333335
1065;1151;191.0;210.37333333333333
1065;1176;217.36;243.5475
1065;1177;196.86;222.35216666666665
1065;1179;64.68;84.41883333333334
1065;1186;224.66;257.83883333333335
1065;1187;237.25;276.0878333333333
1065;1204;1.04;1.8536666666666666
1065;1213;179.49;201.49383333333333
1065;1231;250.89;279.74399999999997
1065;1236;210.57;242.23883333333333
1065;1255;261.72;290.0253333333333
1065;1273;176.03;195.7525
1065;1313;71.57;95.19733333333333
1065;1315;226.78;255.62633333333332
1065;1350;226.57;254.84633333333335
1065;1371;183.05;211.92466666666667
