Recipient_ID;Recipient_ID;Shipment_ID;Loading_Date;Weight;Freight_Cost;Sender_Street;Sender_Postal_Code;Sender_City;Recipient_Street;Recipient_Postal_Code;Recipient_City;Recipient_House_No;Calendar_Week;Recipient_Longitude;Recipient_Latitude;Sender_Longitude;Sender_Latitude;Real_Distance;Duration;Euc_Distance;Weekday
1316;1316;18288;2020-08-17;868.0;63.69;Trinidadstraße 44;27356;Rotenburg (Wümme);BERNAUER STRASSE ;28219;BREMEN;19 ;33;8.802858;53.109182;9.3372;53.124339;47555.7;2275.3;35.70050992028964;0
1317;1317;18291;2020-08-17;710.84;61.5;Trinidadstraße 44;27356;Rotenburg (Wümme);REIHERSTRASSE ;28239;BREMEN;86 ;33;8.732214;53.137461;9.3372;53.124339;55521.2;2673.2;40.38837522950575;0
1042;1042;18294;2020-08-17;96.0;49.1;Trinidadstraße 44;27356;Rotenburg (Wümme);ELLY BEINHORN STRASSE ;27777;GANDERKESEE;6 ;33;8.522141;53.034216;9.3372;53.124339;66000.3;3043.9;55.35692139921839;0
1116;1116;18302;2020-08-17;130.153;50.35;Trinidadstraße 44;27356;Rotenburg (Wümme);BRUCHWEG ;28309;BREMEN;78 ;33;8.896503;53.051524;9.3372;53.124339;38961.5;1917.2;30.524211132344842;0
1222;1222;18307;2020-08-17;1977.29;82.59;Trinidadstraße 44;27356;Rotenburg (Wümme);EDISONSTRASSE ;28357;BREMEN;21 ;33;8.891634;53.111667;9.3372;53.124339;43696.1;2182.8;29.7685363427645;0
1173;1173;18308;2020-08-17;75.0;31.97;Trinidadstraße 44;27356;Rotenburg (Wümme);BOSCHSTRASSE ;27367;SOTTRUM;10 ;33;9.211197;53.103328;9.3372;53.124339;13317.1;1064.4;8.728226331154465;0
1273;1273;18312;2020-08-17;349.0;46.21;Trinidadstraße 44;27356;Rotenburg (Wümme);GERHARD LIESEGANG STRASSE ;27404;ZEVEN;1 ;33;9.297964;53.27437;9.3372;53.124339;25604.2;1512.5;16.88618029764552;0
1274;1274;18315;2020-08-17;175.903;63.95;Trinidadstraße 44;27356;Rotenburg (Wümme);BRÄGELER RING ;49393;LOHNE;2;33;8.269872;52.680462;9.3372;53.124339;114158.0;4530.6;86.95039245085735;0
1281;1281;18317;2020-08-17;2768.0;114.65;Trinidadstraße 44;27356;Rotenburg (Wümme);ALTER FLUGPLATZ ;49377;VECHTA;2 ;33;8.263507;52.722638;9.3372;53.124339;109962.5;4364.4;84.70950325552153;0
1326;1326;18329;2020-08-17;236.0;44.85;Trinidadstraße 44;27356;Rotenburg (Wümme);MOORSTRASSE ;27299;LANGWEDEL;21 ;33;9.185402;52.981885;9.3372;53.124339;46852.4;2136.1;18.810775482701473;0
1288;1288;18338;2020-08-17;5404.0;114.99;Trinidadstraße 44;27356;Rotenburg (Wümme);FELDHORST ;27711;OSTERHOLZ-SCHARMBECK;4 ;33;8.752235;53.233625;9.3372;53.124339;64287.4;3027.0;40.832764371325084;0
1293;1293;18339;2020-08-17;987.5;64.06;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIEPARK BRUNDORF ;28790;SCHWANEWEDE;14 ;33;8.693508;53.232874;9.3372;53.124339;66839.3;3041.9;44.56191820138161;0
1264;1264;18341;2020-08-17;1051.26;91.08;Trinidadstraße 44;27356;Rotenburg (Wümme);DIESELSTRASSE ;26871;PAPENBURG;1 ;33;7.395304;53.09336;9.3372;53.124339;168899.9;7172.3;129.66342281065963;0
1307;1307;18343;2020-08-17;1575.99;99.8;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26683;SATERLAND;5 ;33;7.690675;53.102345;9.3372;53.124339;129965.9;6154.2;109.91891519112322;0
1149;1149;18344;2020-08-17;2751.0;119.28;Trinidadstraße 44;27356;Rotenburg (Wümme);KRÄHENWEG ;26683;SATERLAND;18 ;33;7.691198;53.080462;9.3372;53.124339;141673.3;5966.3;109.99300036304045;0
1308;1308;18345;2020-08-17;1259.5;92.29;Trinidadstraße 44;27356;Rotenburg (Wümme);KRÄHENWEG ;26683;SATERLAND;19 ;33;7.691198;53.080462;9.3372;53.124339;141673.3;5966.3;109.99300036304045;0
1266;1266;18346;2020-08-17;255.894;71.21;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTKANAL LINKS ;26871;PAPENBURG;72 ;33;7.404576;53.076239;9.3372;53.124339;164262.5;7315.4;129.1352799800504;0
1266;1266;18347;2020-08-17;1738.3;107.41;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTKANAL LINKS ;26871;PAPENBURG;72 ;33;7.404576;53.076239;9.3372;53.124339;164262.5;7315.4;129.1352799800504;0
1284;1284;18355;2020-08-17;8557.91;181.61;Trinidadstraße 44;27356;Rotenburg (Wümme);HOLTHÖGE ;49632;ESSEN;10;33;7.917339;52.732237;9.3372;53.124339;122139.3;5073.3;104.68224297819614;0
1110;1110;18356;2020-08-17;4675.28;124.01;Trinidadstraße 44;27356;Rotenburg (Wümme);BAHNHOF ;49424;GOLDENSTEDT;10 ;33;8.394492;52.8003;9.3372;53.124339;85932.4;3934.0;72.69667999479175;0
1318;1318;18359;2020-08-17;32.572;38.45;Trinidadstraße 44;27356;Rotenburg (Wümme);HÜLSMEYER STRASSE ;49406;EYDELSTEDT;56 ;33;8.525849;52.702806;9.3372;53.124339;91273.1;4674.3;71.80966047437968;0
1331;1331;18370;2020-08-17;383.085;67.88;Trinidadstraße 44;27356;Rotenburg (Wümme);KOPPELWEG ;49681;GARREL;10 ;33;8.03512;52.930792;9.3372;53.124339;112559.1;4598.4;89.69678023951909;0
1223;1223;18372;2020-08-17;823.333;80.92;Trinidadstraße 44;27356;Rotenburg (Wümme);DORFSTRASSE ;26219;BÖSEL;7;33;7.955595;52.974956;9.3372;53.124339;122114.0;5101.2;93.829499511425;0
1292;1292;18375;2020-08-17;605.569;67.4;Trinidadstraße 44;27356;Rotenburg (Wümme);SCHIFFSHÖREN ;27572;BREMERHAVEN;3 ;33;8.595662;53.492096;9.3372;53.124339;94712.2;3893.3;64.0271179598725;0
1297;1297;18384;2020-08-17;2042.0;85.73;Trinidadstraße 44;27356;Rotenburg (Wümme);ARSTERDAMM ;28277;BREMEN;110 ;33;8.822854;53.044442;9.3372;53.124339;42971.0;2092.6;35.48226887442577;0
1299;1299;18387;2020-08-17;87.0;43.26;Trinidadstraße 44;27356;Rotenburg (Wümme);CARL ZEISS STRASSE ;28816;STUHR;21 ;33;8.753592;53.027607;9.3372;53.124339;48059.9;2308.2;40.44209439664968;0
1235;1235;18388;2020-08-17;8955.0;151.16;Trinidadstraße 44;27356;Rotenburg (Wümme);FOCKESTRASSE ;27777;GANDERKESEE;53 ;33;8.59354;53.068444;9.3372;53.124339;64051.1;3074.1;50.040955497470684;0
1397;1397;18391;2020-08-17;749.0;69.81;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;33;8.253594;53.108459;9.3372;53.124339;87546.4;3851.5;72.33890920065701;0
1019;1019;18394;2020-08-18;5178.0;114.99;Trinidadstraße 44;27356;Rotenburg (Wümme);HEMELINGER HAFENDAMM ;28309;BREMEN;19A ;33;8.882977;53.051838;9.3372;53.124339;38837.4;1884.9;31.38697050598945;1
1297;1297;18395;2020-08-18;5644.8;114.99;Trinidadstraße 44;27356;Rotenburg (Wümme);ARSTERDAMM ;28277;BREMEN;110 ;33;8.822854;53.044442;9.3372;53.124339;42971.0;2092.6;35.48226887442577;1
