,Euc_Distance
946,94.95103749780596
947,93.80233835386801
948,91.12596012207428
949,92.57902241834337
950,73.75096420853768
951,95.55121621562104
952,94.6692372182695
953,119.9205242809256
954,145.238672376875
955,145.2864812277724
956,126.27219472318184
957,146.28483212705854
958,144.71373110700065
959,145.68355964536354
960,146.5104829547566
961,146.28483212705854
962,44.56191820138161
963,40.832764371325084
964,50.84093987538504
965,51.46036375696112
966,50.84093987538504
967,44.56191820138161
968,50.00747364749054
969,40.38837522950575
970,98.46845081566191
971,89.69678023951909
972,93.829499511425
973,98.30662239517898
974,127.46044532325548
975,129.66342281065963
976,127.46044532325548
977,129.1352799800504
978,139.14866211938616
979,130.0904727132258
980,105.37220096015471
981,103.86848268102955
982,98.3299470595236
983,103.39522980374788
984,101.65627700729945
985,115.42699661202353
986,118.17954859702185
987,118.66179538887839
988,42.39749158892248
989,42.67434101122749
990,111.85951393294567
991,89.65189462928141
992,82.92693109007908
993,109.22566965008349
994,87.8803985069833
995,86.39919346698488
996,85.70405918433606
997,55.35692139921839
998,89.01161547973665
999,50.00541657757668
1000,50.040955497470684
1001,50.040955497470684
1002,86.95978877717648
1003,35.48226887442577
1004,76.42300040171631
1005,76.91971192010008
1006,67.43651063059856
1007,67.01963838231669
1008,66.68935416187139
1009,72.33890920065701
1010,21.087443449131683
1011,26.04230922366078
1012,26.04230922366078
1013,48.6257806310187
1014,76.1195013823201
1015,40.832764371325084
1016,65.40543369105222
1017,54.04307718250836
1018,51.46036375696112
1019,64.0271179598725
1020,44.56191820138161
1021,49.59397194974684
1022,73.49892663007246
1023,53.97346500779966
1024,80.63724792380357
1025,58.0088984792715
1026,68.45393251175338
1027,71.80966047437968
1028,49.57468338389478
1029,59.233087562909766
1030,60.33871920804173
1031,80.48377876966595
1032,24.132760224081586
1033,24.132760224081586
1034,18.668683938815892
1035,20.570876650528888
1036,31.61302101765469
1037,22.288481180837675
1038,22.86167615731109
1039,18.810775482701473
1040,103.51147951544549
1041,112.49471057258445
1042,76.91971192010008
1043,136.7350532976973
1044,117.31632712853146
1045,108.99914648000839
1046,98.84662196621112
1047,72.50493536936835
1048,76.10149670216792
1049,95.6453511106438
1050,107.31773049159862
1051,95.21503909531579
1052,95.41339761739899
1053,104.68224297819614
1054,75.24579847826908
1055,72.33890920065701
1056,46.17101763286834
1057,45.24610336368285
1058,98.30662239517898
1059,89.69678023951909
1060,90.32278432112786
1061,93.829499511425
1062,46.78301296710091
1063,41.19703270576244
1064,35.70050992028964
1065,37.53059243582262
1066,31.901040344897066
1067,31.38697050598945
1068,28.78362613208983
1069,30.524211132344842
1070,69.73468213250285
1071,53.247766399047556
1072,53.247766399047556
1073,71.00062581307161
1074,70.1590463490602
1075,61.7503511753337
1076,70.97943801486538
1077,67.43651063059856
1078,42.39749158892248
1079,42.39749158892248
1080,42.327549766538915
1081,42.67434101122749
1082,57.1321548180012
1083,118.09434548572958
1084,109.91891519112322
1085,109.99300036304045
1086,109.99300036304045
1087,118.17954859702185
1088,8.728226331154465
1089,11.256731115713466
1090,3.336655239181387
1091,45.49614288206953
1092,6.920945546799614
1093,38.66457178966993
1094,11.949941636189628
1095,40.20943286599327
1096,42.46341952894744
1097,41.787021902471785
1098,39.6610076095445
1099,33.518663826504266
1100,36.123380687705115
1101,35.48226887442577
1102,41.46229730013664
1103,39.810374732595214
1104,36.123380687705115
1105,40.62643970784477
1106,35.37246466635452
1107,40.44209439664968
1108,127.46044532325548
1109,127.46044532325548
1110,129.66342281065963
1111,128.55704421782747
1112,127.46044532325548
1113,129.1352799800504
1114,130.0904727132258
1115,71.82708057110683
1116,86.95039245085735
1117,86.95039245085735
1118,94.8705382426288
1119,86.95039245085735
1120,88.22703890459087
1121,89.39952802921432
1122,126.27219472318184
1123,125.86933911056458
1124,122.4118564251037
1125,146.28483212705854
1126,145.68355964536354
1127,146.28483212705854
1128,126.4569986925703
1129,27.946412663630568
1130,48.217101831834775
1131,48.76339524649007
1132,48.44949072919388
1133,48.76339524649007
1134,105.01023255517076
1135,103.86848268102955
1136,89.01161547973665
1137,98.42520808007589
1138,103.39522980374788
