ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Frachtkosten;Straße_Absender;PLZ_Absender;Stadt_Absender;Straße_Empfänger;PLZ_Empfänger;Stadt_Empfänger;Haus_Empfänger;Kalenderwoche
875;113;2020-01-07;2935.35;114.65;Trinidadstraße 44;27356;Rotenburg (Wümme);AN DER KOLCKWIESE ;26133;OLDENBURG;10 ;1
1107;114;2020-01-07;676.0;75.43;Trinidadstraße 44;27356;Rotenburg (Wümme);AMERBUSCHER STRASSE ;49424;GOLDENSTEDT;27 ;1
1274;115;2020-01-07;756.0;78.12;Trinidadstraße 44;27356;Rotenburg (Wümme);BRÄGELER RING ;49393;LOHNE;2;1
1186;116;2020-01-07;5439.5;146.08;Trinidadstraße 44;27356;Rotenburg (Wümme);BAHLER STRASSE ;49413;DINKLAGE;9 ;1
1277;117;2020-01-07;87.0;54.95;Trinidadstraße 44;27356;Rotenburg (Wümme);FLADDERWEG ;49393;LOHNE;15 ;1
1034;118;2020-01-07;344.0;67.88;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;49413;DINKLAGE;2 ;1
1035;119;2020-01-07;5649.0;151.97;Trinidadstraße 44;27356;Rotenburg (Wümme);SCHÖPFWERK ;49610;QUAKENBRÜCK;16 ;1
1331;120;2020-01-06;8463.07;169.16;Trinidadstraße 44;27356;Rotenburg (Wümme);KOPPELWEG ;49681;GARREL;10 ;1
1101;121;2020-01-06;3757.16;132.16;Trinidadstraße 44;27356;Rotenburg (Wümme);SÜDSTRASSE ;26897;ESTERWEGEN;4 ;1
1101;122;2020-01-06;278.755;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);SÜDSTRASSE ;26897;ESTERWEGEN;4 ;1
505;123;2020-01-06;20.964;16.98;Trinidadstraße 44;27356;Rotenburg (Wümme);MARTENSSTRASSE ;28309;BREMEN;;1
943;124;2020-01-06;32.651;33.86;Trinidadstraße 44;27356;Rotenburg (Wümme);KLEINE MARSCHSTRASSE ;28309;BREMEN;15;1
1116;125;2020-01-06;1319.5361109064645;33.86;Trinidadstraße 44;27356;Rotenburg (Wümme);BRUCHWEG ;28309;BREMEN;78 ;1
1117;126;2020-01-06;63.0;36.96;Trinidadstraße 44;27356;Rotenburg (Wümme);ZUM PANREPEL ;28307;BREMEN;44 ;1
1222;127;2020-01-06;1446.98;73.42;Trinidadstraße 44;27356;Rotenburg (Wümme);EDISONSTRASSE ;28357;BREMEN;21 ;1
1042;128;2020-01-06;6309.23;137.4;Trinidadstraße 44;27356;Rotenburg (Wümme);ELLY BEINHORN STRASSE ;27777;GANDERKESEE;6 ;1
